ArticleId,MPN
GW121I06J-B11,97583-44723_904750
GW121E0BL-K11,97592-35035_9083
GW121C059-K11,580990-35709_80837
GW121D0BW-T11,570203-35003_9107
GW121N029-K11,92307-67840_859002
GW121E0AM-K11,96288-66482_8096
GW121I06P-K11,97595-44702_8092
GW121I06Z-M11,531062-35709_50891
GW121D0CH-A11,470066-44016_99700
GW121A089-M11,422897-44017_5058
GW121D0CN-K11,570228-35028_8094
GW121A080-A11,520024-38181_99700
GW121U03J-M11,540301-31122_50890
GW121E0B3-A11,560011-31400_99700
GW121D0DP-A11,570258-35058_9122
GW121D0E1-A11,470110-44150_99600
GW121A03L-A11,92343-67712_99600
GW121U03K-K11,530018-31702_50892
GW121C05U-G11,580905-35117_9123
GW121E0AT-A11,97593-35070_99700
GW121G041-K11,530019-31271_80837
GW121E0B2-T11,570226-35026_8100
GW121U02Y-J11,550216-31121_30869
GW121U035-T11,540351-31012_9004
GW121C05A-M11,580007-31527_5113
GW121G04K-K11,530032-31651_83100
GW121I073-K11,470545-44713_50892
GW121D0DF-T11,470050-44002_5089
GW121N02Q-B11,422227-66880_98600
GW121E0AF-T11,97568-44005_8088
GW121C05M-A11,580904-35063_9114
GW121B04O-A11,410110-66633_99600
GW121E0CL-M11,560028-31535_5121
GW121B04N-T11,410122-67735_3108
GW121B04G-Q11,410100-66707_11000
GW121G03V-T11,93194-38113_8090
GW121D0D9-T11,470076-44008_5039
GW121D0CC-T11,97570-35097_8093
GW121E0BN-L11,560025-31524_50898
GW121C05C-M11,485010-66479_4058
GW121D0CR-K11,571016-35709_80880
GW121C05D-K11,485003-66633_80879
GW121E0BY-K11,470056-44119_50898
GW121I07J-E11,571028-35709_5114
GW121A084-A11,422089-67726_9117
GW121D0DI-A11,570256-35056_99700
GW121D0DW-M11,470123-44072_50903
GW121E0B8-T11,560009-38310_5102
GW121J025-B11,470554-44720_8092
GW121J025-B11,470554-44720_9092
GW121B04Y-K11,410106-67723_808644
GW121U031-B11,530016-31701_90475
GW121E0B9-A11,460320-66480_99700
GW121D0D8-A11,470033-44033_99700
GW121D0CY-N11,570242-35042_5102
GW121D0CB-J11,570208-35008_30874
GW121D0DG-K11,470049-44002_8059
GW121D0DZ-A11,570306-35106_9123
GW121U03E-M11,550013-31131_50898
GW121J024-J11,571009-35703_3101
GW121G03X-K11,530006-38181_80880
GW151G021-N11,90041-72214_5039
GW121A07X-T11,520020-38313_9114
GW121E0AU-K11,570332-35032_80837
GW121G043-J11,530012-31358_30875
GW121U02W-K12,95109-31197_80837
GW121D0DL-A11,570263-35063_9114
GW121J021-T11,571000-35703_9105
GW121N02G-A11,92413-31499_99700
GW121E0C5-M11,570315-35115_50902
GW121A00S-K11,92351-67905_82200
GW121A07R-K11,520003-38181_80880
GW121C05K-K11,98047-31514_8100
GW121D0DX-A11,570316-35116_99600
GW121E0BK-J11,570246-35046_3008
GW121E0CD-M11,470092-44045_3058
GW121D0CD-J11,470005-44007_60674
GW121J02A-A11,571001-35711_5119
GW121N02I-A11,92390-67850_99600
GW121D0D6-K11,97580-44004_8093
GW121A07A-J11,520003-38196_30868
GW121I07G-E11,470534-44735_50896
GW121B04H-T11,410101-67537_1098
GW121E0BS-K11,470060-44034_8089
GW121T006-T11,422893-44017_3058
GW121I06U-B11,430207-44719_904750
GW121A07V-T11,422091-67727_8112
GW121A087-T11,422101-66886_5089
GW121N02S-A11,422221-66801_8123
GW121G04J-N11,530021-38186_50891
GW121D0CQ-A11,96290-31401_99700
GW121E0C9-J11,460323-66489_9038
GW121I06O-A11,430208-44719_99700
GW121N027-K11,422109-67730_8116
GW151G027-K11,500009-72007_80880
GW121B04F-T11,510950-35703_1110
GW121U03I-N11,550009-31150_50891
GW121E0C2-K11,460313-67231_85900
GW121D0E7-A11,570307-35107_9123
GW121B04T-A11,510901-35063_9114
GW121A08B-J11,422896-44017_30877
GW121E0CE-T11,460324-66490_5097
GW121E0C7-J11,560036-31540_5121
GW121A07C-K11,422045-67900_82200
GW121N025-K11,422071-67760_868002
GW121D0DM-K11,470052-44026_80879
GW121G03Z-B11,95111-31091_98600
GW121E0BG-J11,560023-31524_30875
GW121D0DO-K11,470054-44052_80879
GW151G029-T11,500012-72010_5102
GW121N023-B11,92335-67965_98600
GW121D0DR-E11,570266-35066_5114
GW121I06H-B11,470516-44744_3099
GW121D0E5-A11,470126-44119_99600
GW121D0DA-A11,470075-44101_99700
