FileName,images,loc,ean,name,variant,price,MPN,description,category
%C3%A4rmelloses-skater-kleid-kg0kg05787c87.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05787_C87_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05787_C87_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05787_C87_alternate2?$main$",https://de.tommy.com/%C3%A4rmelloses-skater-kleid-kg0kg05787c87,"8720113713247,8720113713278,8720113713414,8720113713452,8720113713490,8720113713605,8720113713643,8720113713667,8720113713698,8720113713827,8720113713858,8720113713889,8720113714022,8720113714060","Ärmelloses Skater-Kleid","TWILIGHT NAVY",64.9,KG0KG05787C87,"Für mühelose und unbeschwerte Freizeitoutfits sorgt dieses Skater-Kleid aus Jersey mit Fit-and-Flare-Passform und Tommy Hilfiger-Branding.",Kleider
%C3%A4rmelloses-streifen-top-aus-bio-baumwolle-kg0kg05853c1s.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05853_C1S_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05853_C1S_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05853_C1S_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05853_C1S_alternate3?$main$",https://de.tommy.com/%C3%A4rmelloses-streifen-top-aus-bio-baumwolle-kg0kg05853c1s,"8720113700827,8720113700872,8720113700919,8720113700933,8720113700988,8720113701121,8720113701169,8720113701206,8720113701220,8720113701251,8720113701299,8720113701343,8720113700773,8720113700797","Ärmelloses Streifen-Top aus Bio-Baumwolle","CALM BLUE",49.9,KG0KG05853C1S,"Sommerlich-schick präsentiert sich dieses gestreifte Top aus weicher Bio-Baumwolle mit auffälligen Rüschen vorne.",Mädchen
%C3%A4rmelloses-strick-poloshirt-mit-wappen-ww0ww309410gy.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30941_0GY_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30941_0GY_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30941_0GY_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30941_0GY_alternate3?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30941_0GY_alternate4?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30941_0GY_alternate5?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30941_0GY_alternate6?$main$",https://de.tommy.com/%C3%A4rmelloses-strick-poloshirt-mit-wappen-ww0ww309410gy,"8720114005822,8720114005839,8720114005846,8720114005853,8720114005860,8720114005877","Ärmelloses Strick-Poloshirt mit Wappen","YALE NAVY / MULTI",130.0,WW0WW309410GY,"Ob Klassiker mit Americana-Vibes und Heritage-Wappen oder zeitgemäße Preppy-Styles in Pastellfarben: Diese ausdrucksstarken Modelle glänzen mit akkuraten Schnitten, eleganten Silhouetten und jeder Menge Tommy-Flair.",Poloshirts
%C3%A4rmelloses-tank-nachthemd-mit-logo-uw0uw02895dw5.txt,https://tommy-europe.scene7.com/is/image/TommyEurope/UW0UW02895_DW5_main?$main$,https://de.tommy.com/%C3%A4rmelloses-tank-nachthemd-mit-logo-uw0uw02895dw5,"8720113413277,8720113413307,8720113413345,8720113413376","Ärmelloses Tank-Nachthemd mit Logo","DESERT SKY",54.9,UW0UW02895DW5,"Für warme Nächte ist dieses ärmellose Tank-Nachthemd aus atmungsaktiver Bio-Baumwolle eine coole Option.",Nachtwäsche
1985-regular-fit-poloshirt-mw0mw17770bds.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/MW0MW17770_BDS_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/MW0MW17770_BDS_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/MW0MW17770_BDS_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/MW0MW17770_BDS_alternate3?$main$",https://de.tommy.com/1985-regular-fit-poloshirt-mw0mw17770bds,"8720113849816,8720113849854,8720113850225,8720113850416,8720113850492","1985 Regular Fit Poloshirt",BLACK,69.9,MW0MW17770BDS,"Der Stretchanteil im Bio-Baumwoll-Piqué dieses von den Tommy-Archiven inspirierten, klassischen Poloshirts sorgt für angenehmen Tragekomfort.",Poloshirts
1985-slim-fit-poloshirt-mw0mw17771bds.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/MW0MW17771_BDS_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/MW0MW17771_BDS_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/MW0MW17771_BDS_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/MW0MW17771_BDS_alternate3?$main$",https://de.tommy.com/1985-slim-fit-poloshirt-mw0mw17771bds,"8720113831675,8720113831866,8720113832078,8720113832306,8720113832542","1985 Slim Fit Poloshirt",BLACK,69.9,MW0MW17771BDS,"Bio-Baumwolle mit extra Stretch sorgt bei diesem Slim Fit Poloshirt für eine schmale Silhouette und bietet ganztägigen Tragekomfort.",Poloshirts
1er-pack-socken-mit-flag-som4819850300.txt,https://tommy-europe.scene7.com/is/image/TommyEurope/SOM4819850_300_main?$main$,https://de.tommy.com/1er-pack-socken-mit-flag-som4819850300,"8718824623856,8718824623863,8718824623870","1er-Pack Socken mit Flag",WHITE,10.0,SOM4819850300,"Verpass deinen Freizeit-Outfits dank diesen Color Block-Socken mit der kultigen Flag und gemütlichen Bündchen aus Rippstrick einen Farbtupfer.",Socken
2er-pack-ballerina-socken-s100002925004.txt,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002925_004_main?$main$,https://de.tommy.com/2er-pack-ballerina-socken-s100002925004,"8720245086479,8720245086486","2er-Pack Ballerina-Socken",WHITE,10.0,S100002925004,"Ein Paar in diesem 2er-Pack softer und niedrig geschnittener Ballerina-Socken ist einfarbig und ein Paar punktet mit einem TH-Monogramm-Print.","Socken & Strumpfhosen"
2er-pack-baumwoll-langarmshirts-ug0ug002640vj.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00264_0VJ_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00264_0VJ_alternate1?$main$",https://de.tommy.com/2er-pack-baumwoll-langarmshirts-ug0ug002640vj,"8720113402660,8720113402714,8720113402790,8720113402882","2er-Pack Baumwoll-Langarmshirts","ROSE TAN/WHITE",29.9,UG0UG002640VJ,"Bei Abenteuern im Freien sind diese beiden Langarmshirts aus reinem Baumwolljersey immer willkommen.",Mädchen
2er-pack-baumwoll-t-shirts-ub0ub003140tm.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00314_0TM_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00314_0TM_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00314_0TM_alternate2?$main$",https://de.tommy.com/2er-pack-baumwoll-t-shirts-ub0ub003140tm,"8720113410702,8720113410719,8720113410726,8720113410733","2er-Pack Baumwoll-T-Shirts","LUMINOUS BLUE/PRIMARY GREEN",28.9,UB0UB003140TM,"Dieser 2er-Pack beinhaltet lässige T-Shirts in einfarbiger und maritim gestreifter Variante mit Rundhalsausschnitt.",Jungen
2er-pack-baumwoll-t-shirts-ug0ug003070u9.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00307_0U9_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00307_0U9_alternate1?$main$",https://de.tommy.com/2er-pack-baumwoll-t-shirts-ug0ug003070u9,"8720113389411,8720113389442,8720113389473,8720113389527","2er-Pack Baumwoll-T-Shirts","WHITE / DESERT SKY",26.9,UG0UG003070U9,"Diese beiden schlichten T-Shirts aus reiner Baumwolle sind ideal für Lagenlooks oder zur Pyjamahose.",Mädchen
2er-pack-baumwollsocken-mit-flag-s100002319001.txt,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002319_001_main?$main$,https://de.tommy.com/2er-pack-baumwollsocken-mit-flag-s100002319001,"8720245082235,8720245082242,8720245082259","2er-Pack Baumwollsocken mit Flag",WHITE,7.0,S100002319001,"Durch extra Stretch sind diese Baby-Socken mit bequemen Rippstrick-Bündchen und farbenfrohem Branding auch an den Zehen besonders gemütlich.",Babys
2er-pack-bio-baumwoll-bralettes-ug0ug003680y2.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00368_0Y2_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00368_0Y2_alternate1?$main$",https://de.tommy.com/2er-pack-bio-baumwoll-bralettes-ug0ug003680y2,"8720113385239,8720113385550,8720113385581,8720113385826","2er-Pack Bio-Baumwoll-Bralettes","KLU/CURSIVE/AOP/LUMINOUS BLUE",27.9,UG0UG003680Y2,"Dank Racerback-Design sitzen diese Bralettes aus Bio-Baumwolle extra bequem und das Unterbrustband mit Logo sorgt für klassischen Tommy Hilfiger-Style.",Mädchen
2er-pack-bio-baumwoll-bralettes-ug0ug003710vz.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00371_0VZ_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00371_0VZ_alternate1?$main$",https://de.tommy.com/2er-pack-bio-baumwoll-bralettes-ug0ug003710vz,"8720113386335,8720113386397,8720113386595,8720113386885","2er-Pack Bio-Baumwoll-Bralettes","KLU/MULTI/STAR/AOP/HAMPTONS PINK",27.9,UG0UG003710VZ,"In diesem 2er-Pack Bralettes aus weicher Bio-Baumwolle mit Stretch sind ein schlichtes Modell und eines mit Print enthalten – beide mit Logomuster am Unterbrustband.",Mädchen
2er-pack-bio-baumwoll-bralettes-ug0ug003810wd.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00381_0WD_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00381_0WD_alternate1?$main$",https://de.tommy.com/2er-pack-bio-baumwoll-bralettes-ug0ug003810wd,"8720111652760,8720111652777,8720111652746,8720111652753","2er-Pack Bio-Baumwoll-Bralettes","PRIMARY RED/DESERT SKY",27.9,UG0UG003810WD,"Diese Racerback-Bralettes aus bequemer Bio-Baumwolle mit Stretch und Logo am Unterbrustband sind echte Basics.",Mädchen
2er-pack-bio-baumwoll-slips-mit-logo-ug0ug003820wd.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00382_0WD_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00382_0WD_alternate1?$main$",https://de.tommy.com/2er-pack-bio-baumwoll-slips-mit-logo-ug0ug003820wd,"8720111652661,8720111652685,8720111652623,8720111652647","2er-Pack Bio-Baumwoll-Slips mit Logo","PRIMARY RED/DESERT SKY",21.9,UG0UG003820WD,"Als bequeme Alltags-Basics eignen sich diese aus Bio-Baumwolle mit Stretch gefertigten Slips mit Logo am Taillenbund.",Mädchen
2er-pack-bio-baumwoll-slips-mit-stretch-ug0ug003700y2.txt,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00370_0Y2_main?$main$,https://de.tommy.com/2er-pack-bio-baumwoll-slips-mit-stretch-ug0ug003700y2,"8720113388681,8720113388698,8720113388827,8720113388841","2er-Pack Bio-Baumwoll-Slips mit Stretch","KLU/CURSIVE/AOP/LUMINOUS BLUE",21.9,UG0UG003700Y2,"In diesem 2er-Pack Slips aus Bio-Baumwolle mit Stretch ist einer mit unverwechselbarem Print und einer mit schlichtem Design enthalten.",Mädchen
2er-pack-bio-baumwoll-slips-mit-stretch-ug0ug003730vz.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00373_0VZ_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00373_0VZ_alternate1?$main$",https://de.tommy.com/2er-pack-bio-baumwoll-slips-mit-stretch-ug0ug003730vz,"8720113389534,8720113389565,8720113389602,8720113389640","2er-Pack Bio-Baumwoll-Slips mit Stretch","KLU/MULTI/STAR/AOP/HAMPTONS PINK",21.9,UG0UG003730VZ,"Ein farbenfroher Print und ein unifarbenes Design sind in diesem 2er-Pack Slips aus Bio-Baumwolle mit Stretch enthalten und beide haben das TH-Logomuster am Taillenbund.",Mädchen
2er-pack-bio-baumwoll-slips-ug0ug003720vz.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00372_0VZ_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00372_0VZ_alternate1?$main$",https://de.tommy.com/2er-pack-bio-baumwoll-slips-ug0ug003720vz,"8720113387295,8720113387325,8720113387349,8720113387363","2er-Pack Bio-Baumwoll-Slips","KLU/MULTI/STAR/AOP/HAMPTONS PINK",24.9,UG0UG003720VZ,"Die Bio-Baumwolle mit Stretch sorgt bei diesen Slips mit Print bzw. schlichtem Design für zusätzlichen Tragekomfort.",Mädchen
2er-pack-bio-baumwoll-trunks-mit-stern-print-ub0ub003640y4.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00364_0Y4_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00364_0Y4_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00364_0Y4_alternate2?$main$",https://de.tommy.com/2er-pack-bio-baumwoll-trunks-mit-stern-print-ub0ub003640y4,"8720113392794,8720113393081,8720113393357,8720113393722","2er-Pack Bio-Baumwoll-Trunks mit Stern-Print","KLU/MULTI/STAR/AOP/DESERT SKY",26.9,UB0UB003640Y4,"Dieser 2er-Pack Trunks aus Bio-Baumwolle mit Stretch – einer mit Sternen, einer einfarbig – ist perfekt um die Wäscheschublade aufzufrischen.",Jungen
2er-pack-bio-baumwoll-trunks-mit-tommy-tape-ub0ub003270ta.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00327_0TA_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00327_0TA_alternate1?$main$",https://de.tommy.com/2er-pack-bio-baumwoll-trunks-mit-tommy-tape-ub0ub003270ta,"8720113388803,8720113388834,8720113388865,8720113388902","2er-Pack Bio-Baumwoll-Trunks mit Tommy-Tape","MEDIUM GREY HTR/DESERT SKY",26.9,UB0UB003270TA,"Diese farbenfrohen Trunks mit Tommy-Tape am Taillenbund bestehen aus bequemer Bio-Baumwolle mit Stretch-Anteil.",Jungen
2er-pack-bio-baumwoll-trunks-ub0ub002890u9.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00289_0U9_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00289_0U9_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00289_0U9_alternate2?$main$",https://de.tommy.com/2er-pack-bio-baumwoll-trunks-ub0ub002890u9,"8720113389718,8720113389725,8720113389732,8720113389756","2er-Pack Bio-Baumwoll-Trunks","WHITE / DESERT SKY",26.9,UB0UB002890U9,"Dank weicher, atmungsaktiver Bio-Baumwolle sind diese Trunks im Alltag und unterwegs stets bequem.",Jungen
2er-pack-bio-baumwoll-trunks-ub0ub002910ty.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00291_0TY_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00291_0TY_alternate1?$main$",https://de.tommy.com/2er-pack-bio-baumwoll-trunks-ub0ub002910ty,"8719861433095,8719861433101,8719861433118,8719861433088","2er-Pack Bio-Baumwoll-Trunks","AG/TENNIS/STRIPE/AOP/COUNTRY CLUB",24.9,UB0UB002910TY,"Dank Bio-Baumwolle mit Stretch und flachen, glatt verklebten Kanten sind diese soften Trunks mit Branding am Taillenbund besonders bequem.",Jungen
2er-pack-bio-baumwoll-trunks-ub0ub002930ug.txt,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00293_0UG_main?$main$,https://de.tommy.com/2er-pack-bio-baumwoll-trunks-ub0ub002930ug,"8720113388445,8720113388469,8720113388490,8720113388506","2er-Pack Bio-Baumwoll-Trunks","ARMY GREEN STRIPE/DESERT SKY",24.9,UB0UB002930UG,"Der Stretch-Anteil sorgt bei diesen Trunks aus Bio-Baumwolle den ganzen Tag über für zusätzlichen Komfort.",Jungen
2er-pack-boxer-shorts-aus-bio-baumwolle-ub0ub003870sn.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00387_0SN_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00387_0SN_alternate1?$main$",https://de.tommy.com/2er-pack-boxer-shorts-aus-bio-baumwolle-ub0ub003870sn,"8720113391971,8720113391988,8720113391995,8720113392008","2er-Pack Boxer-Shorts aus Bio-Baumwolle","DESERT SKY/PRIMARY RED",24.9,UB0UB003870SN,"Dieser 2er-Pack Boxer-Shorts aus Bio-Baumwolle mit Stretch hat zwei Designvarianten in petto: eine mit dezentem und die andere mit auffälligem Farbton.",Jungen
2er-pack-boxer-shorts-aus-bio-baumwolle-um0um021880u4.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UM0UM02188_0U4_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UM0UM02188_0U4_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UM0UM02188_0U4_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UM0UM02188_0U4_alternate3?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UM0UM02188_0U4_alternate4?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UM0UM02188_0U4_alternate5?$main$",https://de.tommy.com/2er-pack-boxer-shorts-aus-bio-baumwolle-um0um021880u4,"8720113407894,8720113408402,8720113408419,8720113408426","2er-Pack Boxer-Shorts aus Bio-Baumwolle",AQUATICTEAL/DESERTSKY,39.9,UM0UM021880U4,"Mit diesem 2er-Pack aus gewebten Boxer-Shorts erhältst du zwei schlichte, smarte Designs mit bequemer Passform und dezentem Branding.",Unterwäsche
2er-pack-boxer-shorts-mit-mehrfarbigem-print-ub0ub003880tz.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00388_0TZ_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00388_0TZ_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00388_0TZ_alternate2?$main$",https://de.tommy.com/2er-pack-boxer-shorts-mit-mehrfarbigem-print-ub0ub003880tz,"8720113401571,8720113401830,8720113401885,8720113402011","2er-Pack Boxer-Shorts mit mehrfarbigem Print","KLU/FRESH/STRIPE/ PRIMARY GREEN",24.9,UB0UB003880TZ,"Ob dezent oder auffällig: Diese Boxer-Shorts im 2er-Pack bieten die Wahl zwischen mehrfarbigen Streifen und einer unifarbenen Variante.",Jungen
